step,BattleShip3/conv,BattleShip3/iters,BattleShip3/nodes_touched
0,0.4571428571428572,0,0
1,0.45714285714285713,1,1465214
2,1.1183150183150188,2,2930428
3,0.7932688718415567,3,4395642
4,0.629227122790649,4,5860856
5,0.5138982018513574,5,7326070
6,0.4716743652111738,6,8791284
7,0.414424037261698,7,10256498
8,0.3620082349897715,8,11721712
9,0.3271026057996726,9,13186926
10,0.3193182819051286,10,14652140
11,0.3074482425086006,11,16117354
12,0.28584969222789786,12,17582568
13,0.2743626894797133,13,19047782
14,0.26032086465511706,14,20512996
15,0.2525260285223528,15,21978210
16,0.24308279959786117,16,23443424
17,0.2349067158837661,17,24908638
18,0.22551191693164246,18,26373852
19,0.210514127612833,19,27839066
20,0.2025120451901341,20,29304280
21,0.19845993348158453,21,30769494
22,0.19238045432835899,22,32234708
23,0.18744820587768915,23,33699922
24,0.18986706089293287,24,35165136
25,0.19064891005702808,25,36630350
26,0.1853894704512755,26,38095564
27,0.17617995613736553,27,39560778
28,0.17517613490692774,28,41025992
29,0.1666766096171901,29,42491206
30,0.15678499423818076,30,43956420
31,0.1444437040626927,31,45421634
32,0.13117536796730644,32,46886848
33,0.11867484822713063,33,48352062
34,0.11239346841901914,34,49817276
35,0.10895097837499026,35,51282490
36,0.10550712806328252,36,52747704
37,0.10195571133528646,37,54212918
38,0.09779158895103286,38,55678132
39,0.09509366526036983,39,57143346
40,0.09330902922398433,40,58608560
41,0.09096668236430452,41,60073774
42,0.0894157628511753,42,61538988
43,0.08949969441884406,43,63004202
44,0.08903130849831199,44,64469416
45,0.08788239956221508,45,65934630
46,0.0875864320791282,46,67399844
47,0.08652848022179824,47,68865058
48,0.08383861146562595,48,70330272
49,0.0803071971066903,49,71795486
50,0.07720121837612878,50,73260700
51,0.07471611712334729,51,74725914
52,0.07418229679802828,52,76191128
53,0.07438224294166929,53,77656342
54,0.07343393569484444,54,79121556
55,0.0719323477512429,55,80586770
56,0.07139048560594069,56,82051984
57,0.0701152660345465,57,83517198
58,0.06803398712825616,58,84982412
59,0.06624587694143318,59,86447626
60,0.06447596349000319,60,87912840
61,0.06301219661804869,61,89378054
62,0.061018979255395636,62,90843268
63,0.06066742629037564,63,92308482
64,0.06095634795339111,64,93773696
65,0.061062046038524095,65,95238910
66,0.0626214805198011,66,96704124
67,0.06368299464158454,67,98169338
68,0.06408173097207898,68,99634552
69,0.06420242208394943,69,101099766
70,0.06388055426401364,70,102564980
