step,BattleShip2/conv,BattleShip2/iters,BattleShip2/nodes_touched
0,0.5,0,0
1,0.5,1,20138
2,0.6458333333333335,2,40276
3,0.7333631552593898,3,60414
4,0.6024489052814888,4,80552
5,0.5473335599244095,5,100690
6,0.48032484543526915,6,120828
7,0.44763241106004403,7,140966
8,0.4336154252713186,8,161104
9,0.3661366979894284,9,181242
10,0.3674339990334672,10,201380
11,0.32520549336772786,11,221518
12,0.30015738771148737,12,241656
13,0.2853894973508758,13,261794
14,0.25134523013960863,14,281932
15,0.2371889353331942,15,302070
16,0.20373476601360352,16,322208
17,0.178066083564365,17,342346
18,0.18580803717180797,18,362484
19,0.1914357738605074,19,382622
20,0.20108320662285045,20,402760
21,0.20099541590792816,21,422898
22,0.20069840152295926,22,443036
23,0.19413398419485628,23,463174
24,0.17744271158145136,24,483312
25,0.1561341343538507,25,503450
26,0.14005937761256015,26,523588
27,0.1385046238017028,27,543726
28,0.13400462646250755,28,563864
29,0.12920002351446158,29,584002
30,0.11876778383895681,30,604140
31,0.1221418750590032,31,624278
32,0.12440799284703219,32,644416
33,0.12194452065049832,33,664554
34,0.11423595728981578,34,684692
35,0.10058054931478683,35,704830
36,0.09452569786538695,36,724968
37,0.09538095773475558,37,745106
38,0.09436808949298264,38,765244
39,0.0910666808397283,39,785382
40,0.09220079016620314,40,805520
41,0.09379332185686606,41,825658
42,0.09666852573041856,42,845796
43,0.09686043303109515,43,865934
44,0.09328504908217472,44,886072
45,0.09196587248261279,45,906210
46,0.09091868812889048,46,926348
47,0.08705869699205454,47,946486
48,0.0820918664406961,48,966624
49,0.08367984226476344,49,986762
50,0.08635339037033596,50,1006900
51,0.08561383596492611,51,1027038
52,0.08175801601444455,52,1047176
53,0.07961570790216005,53,1067314
54,0.07448531403233855,54,1087452
55,0.06995095626592535,55,1107590
56,0.06638192098472318,56,1127728
57,0.06760938566798202,57,1147866
58,0.0724429930764861,58,1168004
59,0.07808641420930473,59,1188142
60,0.08121349644010989,60,1208280
61,0.08234753039891846,61,1228418
62,0.0824129940542982,62,1248556
63,0.08091610387908693,63,1268694
64,0.0787884691521899,64,1288832
65,0.0763363235567861,65,1308970
66,0.07367108178088105,66,1329108
67,0.07053118925759438,67,1349246
68,0.06636305322396668,68,1369384
69,0.06344821484987245,69,1389522
70,0.06335261367946815,70,1409660
71,0.06491885123872998,71,1429798
72,0.06416442028154595,72,1449936
73,0.06375256124490764,73,1470074
74,0.06318428395868203,74,1490212
75,0.06158766219987272,75,1510350
76,0.05922815934129905,76,1530488
77,0.057034218621208166,77,1550626
78,0.05574541393356647,78,1570764
79,0.05573591431950092,79,1590902
80,0.05530695434091265,80,1611040
81,0.05386270529741588,81,1631178
82,0.0531194742918063,82,1651316
83,0.05205699155168991,83,1671454
84,0.050998024230793804,84,1691592
85,0.051667637029851665,85,1711730
86,0.051502189689240085,86,1731868
87,0.0510494973038253,87,1752006
88,0.05122320120125623,88,1772144
89,0.051522375840556356,89,1792282
90,0.051414149305658685,90,1812420
91,0.05062913295076443,91,1832558
92,0.05035404924510101,92,1852696
93,0.05094388465122096,93,1872834
94,0.05029516763102254,94,1892972
95,0.04885533565719358,95,1913110
96,0.04742267522323068,96,1933248
97,0.04802271285243831,97,1953386
98,0.047684214023055616,98,1973524
99,0.04653682194985653,99,1993662
100,0.04496421037337611,100,2013800
101,0.04381914051237262,101,2033938
102,0.04237010679795766,102,2054076
103,0.04044606679724888,103,2074214
104,0.04010399148924443,104,2094352
105,0.040560270444841284,105,2114490
106,0.040353074047442816,106,2134628
107,0.04109653100791566,107,2154766
108,0.04370523450800007,108,2174904
109,0.04602523319858687,109,2195042
110,0.047011188700046114,110,2215180
111,0.04652890995057718,111,2235318
112,0.045713856135025155,112,2255456
113,0.04496869211180121,113,2275594
114,0.04430469435169482,114,2295732
115,0.04315417132371829,115,2315870
116,0.04130599345797825,116,2336008
117,0.04050146752740852,117,2356146
118,0.0391351229970508,118,2376284
119,0.03847493122250606,119,2396422
120,0.03808308701904384,120,2416560
121,0.037842430686691686,121,2436698
122,0.03777185455372922,122,2456836
123,0.036718840932025154,123,2476974
