step,Subgame3/tau,Subgame3/alpha,Subgame3/beta,Subgame3/gamma,Subgame3/conv,Subgame3/iters
0,1,1.0224879191439482,-0.8825253571253122,4.9972556300742,27.81675537109375,0
1,,,,,27.81675537109375,1
2,1,1.0255333535840228,-0.8838958880641179,4.997224649023956,20.47853790283203,2
3,1,1.0169486596967923,-0.8867133576208273,4.997279960701937,10.911421508789063,3
4,1,0.9962794555410479,-0.8916507044257773,4.997421298346072,6.619854125976563,4
5,1,0.9806677316885606,-0.8964595061184801,4.997522721995572,3.5985316467285156,5
6,1,0.9611837348588492,-0.9027626803339317,4.997647276139301,2.2125889587402345,6
7,1,0.9463859790862117,-0.9087117443802635,4.997737159032035,1.6841664123535156,7
8,1,0.9394001950431241,-0.9129663327988127,4.997774879716006,1.216775894165039,8
9,1,0.9305590891142366,-0.9180033331535498,4.997823781903571,2.4070784759521486,9
10,1,0.9581411884123681,-0.9123818170181082,4.997636773096733,6.031275939941406,10
11,1,0.995025167964182,-0.9058676912500043,4.997372025987431,13.620017700195312,11
12,1,1.0288172282052939,-0.9016784826734208,4.997110937959671,10.137546081542968,12
13,1,1.0206149250973526,-0.9050229256721534,4.997164437636158,7.19988037109375,13
14,1,1.01067959603228,-0.9089202394049805,4.997230228272586,5.024967956542969,14
15,1,1.0001459947747426,-0.9132380788365446,4.997299347284361,3.703377227783203,15
16,1,0.9917091272164977,-0.9173748683476814,4.997352042469139,2.8931939697265623,16
17,1,0.9854794806111955,-0.9211849871703719,4.997388137426638,2.3959501647949217,17
18,1,0.9814332603255784,-0.9245680679087565,4.9974082438749905,2.0808680725097655,18
19,1,0.9791580026414461,-0.927554821976637,4.9974155489678544,1.8667525482177734,19
20,1,0.9780848468158783,-0.9302558573859487,4.997414187301912,1.6483199310302734,20
21,1,0.9764242557933966,-0.9331750996180241,4.9974169695732,1.458306541442871,21
22,1,0.9748367869771455,-0.9361253523154494,4.997419167281692,1.2925784301757812,22
23,1,0.97331785853523,-0.9391066718068601,4.997420813413994,1.144912338256836,23
24,1,0.9717743153509142,-0.942148358464165,4.9974225745799234,1.1186428833007813,24
25,1,0.973855719876793,-0.9440305535983335,4.997398243582018,1.2417716217041015,25
26,1,0.9806750147522569,-0.9443649096849733,4.9973391292916585,1.2093101119995118,26
27,1,0.9826473678718239,-0.9462894115812843,4.997314869086674,1.0523697662353515,27
28,1,0.9804359407067516,-0.9496190059955283,4.997321301338683,0.9528582000732422,28
29,1,0.9796993019979814,-0.9525043909047406,4.997316801582179,0.8988752746582032,29
30,1,0.9804861524645323,-0.9548924028856232,4.997300955512008,0.792578125,30
31,1,0.9787629327106087,-0.9582012576364707,4.9973036035042675,0.7071062469482422,31
32,1,0.9774747841298321,-0.9614068410537182,4.997302944252143,0.6443885231018066,32
33,1,0.9769711674938941,-0.9643627547772309,4.997296351079277,0.6034033584594727,33
34,1,0.9774759566988251,-0.9669669343069951,4.997282165379798,0.5540604782104492,34
35,1,0.9772482485240064,-0.9698785465916404,4.997273272180982,0.5646310424804688,35
36,1,0.9809113200115576,-0.9712941639091839,4.9972352047042214,0.6260568809509277,36
37,1,0.9877388397896689,-0.9714915848398709,4.997172488942521,0.5737168312072753,37
38,1,0.9874411623942139,-0.9744532103237635,4.997163684020146,0.5127155876159668,38
39,1,0.9861980912060702,-0.9778244872407953,4.9971619875272015,0.4719550895690918,39
40,1,0.9860603768221252,-0.9807937777495848,4.997151687909075,0.4384761428833008,40
41,1,0.9862686393741449,-0.9836476954262032,4.997138593955119,0.4045101547241211,41
42,1,0.9862105812212654,-0.9866318402328154,4.997127397190319,0.3751438331604004,42
43,1,0.9863492139944185,-0.9895565812564375,4.997114541822494,0.345229959487915,43
44,1,0.986195283983303,-0.9926252863240712,4.9971037905407325,0.3199313735961914,44
45,1,0.98630364751248,-0.9956064651650691,4.9970908691581455,0.29587048530578614,45
46,1,0.9863323119384688,-0.998643443723584,4.997078410530511,0.2731196022033691,46
47,1,0.9862906545729739,-1.0017332393102516,4.99706634335463,0.2582006072998047,47
48,1,0.9871494396278013,-1.0044554681105364,4.997047133438372,0.24873614311218262,48
49,1,0.9887213815330955,-1.006882071508754,4.997022156894905,0.240529842376709,49
50,1,0.9904383966418249,-1.0092540598585527,4.996995779138443,0.2303990364074707,50
51,1,0.9917966904586049,-1.0117914479927814,4.996971961309043,0.21978363990783692,51
52,1,0.99299813259937,-1.0144070935011893,4.996949140659853,0.21330056190490723,52
53,1,0.9948557327351866,-1.0167432511226007,4.996920839540007,0.20313340187072754,53
54,1,0.9959945356282023,-1.019405308687133,4.996898014835168,0.19440028190612793,54
55,1,0.9973201999378061,-1.0219945343768142,4.996873440912431,0.18657876014709474,55
56,1,0.9987562968623913,-1.0245441702435119,4.996847711995492,0.1819642639160156,56
57,1,1.000806463295861,-1.0268288463781423,4.996816696782286,0.20334720611572266,57
58,1,1.0080796740320013,-1.0267879512569715,4.9967420205455575,0.2565897750854492,58
59,1,1.0200411621492735,-1.0246701503046451,4.996625382029411,0.6412178230285644,59
60,1,1.0585439350454682,-1.0112630804873874,4.996259681311397,0.5822834014892578,60
61,1,1.0578840350861376,-1.0146009099913,4.996249741431815,0.5661609268188477,61
62,1,1.0598942170953884,-1.0168696768258403,4.996214237159437,0.7933297538757325,62
63,1,1.076271314307034,-1.0133682688924905,4.996038381765855,0.6975200843811035,63
64,1,1.0743321974986078,-1.017176075162172,4.996040226607684,0.6374419593811035,64
65,1,1.0739169389679089,-1.020428482893207,4.9960269086978135,0.5867387962341308,65
66,1,1.073783237875801,-1.023595095312206,4.996010625140536,0.5381771469116211,66
67,1,1.073509172083018,-1.0268455579529605,4.995995544711521,0.5127669715881348,67
68,1,1.0747340671255499,-1.0294892165032075,4.995965294093855,0.5114012145996094,68
69,1,1.077765972856296,-1.031380509791045,4.995916511088996,0.5336329841613769,69
70,1,1.0825960430744843,-1.0325212201172687,4.995848794827728,0.5326353645324707,70
71,1,1.085672979501776,-1.034404888314031,4.995798208892326,0.5252956199645996,71
72,1,1.088277095032215,-1.0364931789052976,4.995751932117495,0.5035911750793457,72
73,1,1.0897556910261064,-1.0390638915447403,4.995716908031108,0.4747310638427734,73
74,1,1.0905636935027927,-1.041932593413942,4.995688565459776,0.4464301109313965,74
75,1,1.0912730413765281,-1.0448603485239025,4.9956609663045874,0.41754398345947263,75
76,1,1.0917645810389665,-1.0479006664457058,4.995635385709345,0.4212274742126465,76
77,1,1.0952811751233131,-1.0496311834580265,4.995577215572216,0.4038114356994629,77
78,1,1.0967599799385215,-1.052260688559503,4.995540309343522,0.38245803833007813,78
79,1,1.097753734431849,-1.0551170534805898,4.995508265383134,0.36410079956054686,79
80,1,1.0989533442691737,-1.0578956863388953,4.995473638626557,0.3478304672241211,80
81,1,1.1002926129920914,-1.0606226039270752,4.995437111566677,0.32867238998413084,81
82,1,1.1011927608127663,-1.0635575730879134,4.995405032465667,0.3328317928314209,82
83,1,1.1048781403297112,-1.0652468452589245,4.9953416852692225,0.33475154876708985,83
84,1,1.108295526136981,-1.067062741688124,4.995280525220494,0.3299662017822266,84
85,1,1.1109046454082647,-1.0692493676857322,4.995227755174664,0.31840106010437014,85
86,1,1.1126560315110068,-1.071831342365714,4.995184157614955,0.30634160041809083,86
87,1,1.1142898099829515,-1.0744758597569835,4.995141429128766,0.2970771026611328,87
88,1,1.1162447632988823,-1.076983224857352,4.995094516724483,0.29089526176452635,88
89,1,1.1185941640516017,-1.079318552100883,4.995042480082041,0.28059919357299806,89
90,1,1.1203362170973268,-1.0819400969961868,4.994996972542642,0.28033305168151856,90
91,1,1.1235069530989281,-1.0839133498716882,4.994934053200582,0.26999481201171877,91
92,1,1.1251898566085072,-1.0865782978993894,4.994888115954151,0.2598046875,92
93,1,1.1268371493868365,-1.0892692134536688,4.994842095019215,0.26595980644226075,93
94,1,1.1310132922828073,-1.0907969153654964,4.994764925093378,0.2578006362915039,94
95,1,1.132963946540118,-1.093361853005207,4.994713957869529,0.2496952247619629,95
96,1,1.1348838487920085,-1.0959498220837025,4.994662789766654,0.24032598495483398,96
97,1,1.13654685301417,-1.098666711793026,4.994614226437809,0.2401587677001953,97
98,1,1.1397524398027299,-1.1006703350727134,4.994545831803442,0.22859230041503906,98
99,1,1.1409616981681179,-1.1036172396422215,4.994501757233655,0.23217688560485839,99
100,1,1.1448432681783687,-1.1053163801529413,4.99442325663253,0.2245484161376953,100
101,1,1.1467122269762493,-1.1079693021679893,4.994369542663732,0.21569036483764648,101
102,1,1.1483001808612805,-1.1107644301660096,4.994318842387561,0.21726966857910157,102
103,1,1.1518536459432536,-1.1126367217775133,4.99424198625412,0.20848663330078124,103
104,1,1.1534026320306558,-1.1154670854271396,4.994190473429134,0.20064424514770507,104
105,1,1.1550733450684747,-1.1182496850516876,4.99413677008478,0.20571853637695312,105
106,1,1.159371722742111,-1.119785358636907,4.994047407145587,0.19894269943237305,106
107,1,1.1612479635557165,-1.1224846914971391,4.993989461851289,0.19111111640930176,107
108,1,1.1628480009242854,-1.1253260970118284,4.993934592143297,0.18598200798034667,108
109,1,1.1649881918537122,-1.127917219459733,4.993871719737086,0.18468426704406737,109
110,1,1.1679725206217833,-1.130108861818869,4.9937964730033695,0.17701560020446777,110
111,1,1.1694824681859817,-1.1330213825841773,4.993740768442095,0.16890228271484375,111
112,1,1.1708047275687945,-1.1360361184024965,4.993687050339062,0.1677786636352539,112
113,1,1.1738098618606654,-1.1382401632724006,4.993609024542442,0.16000429630279542,113
114,1,1.1751117473517794,-1.1412845237207376,4.993554213764523,0.15208544731140136,114
115,1,1.1762751659753174,-1.1444088683927232,4.99350075610497,0.15547332763671876,115
116,1,1.1804913122736425,-1.146039148973638,4.993402711759558,0.1490638828277588,116
117,1,1.1820202904823147,-1.1490006380492042,4.993342440717872,0.14331259727478027,117
118,1,1.1836655612779887,-1.151915378395997,4.993279769755393,0.1428936529159546,118
119,1,1.1868444500951758,-1.154077655671797,4.993193719597736,0.13730606079101562,119
120,1,1.1884696368180683,-1.1570205328087027,4.993129716028385,0.1334919548034668,120
121,1,1.190589748628753,-1.1597263268727118,4.993057538999066,0.1275167465209961,121
122,1,1.1919674686155797,-1.1628140073155846,4.992995716874089,0.13118929862976075,122
