step,BattleShip2/conv,BattleShip2/iters,BattleShip2/nodes_touched
0,0.5,0,0
1,0.5,1,20138
2,0.7333333333333334,2,40276
3,1.0408421339068603,3,60414
4,0.9642821639171165,4,80552
5,0.7702258413337509,5,100690
6,0.737853022080457,6,120828
7,0.5231854814106154,7,140966
8,0.37887409864653243,8,161104
9,0.3442334192638785,9,181242
10,0.32613806560530034,10,201380
11,0.2973194718223833,11,221518
12,0.2909851019562955,12,241656
13,0.2574023936022367,13,261794
14,0.22823310527464039,14,281932
15,0.22799950034857705,15,302070
16,0.20912581744875064,16,322208
17,0.1939338511578822,17,342346
18,0.2194993222928255,18,362484
19,0.190543867134156,19,382622
20,0.15327725734488118,20,402760
21,0.11496899612936629,21,422898
22,0.1048352166472935,22,443036
23,0.09940037621062953,23,463174
24,0.09577304287877547,24,483312
25,0.09191069842367477,25,503450
26,0.08794181325935818,26,523588
27,0.08713177436169733,27,543726
28,0.08634649775399245,28,563864
29,0.08259689478525367,29,584002
30,0.08660340830759822,30,604140
31,0.08030838485863678,31,624278
32,0.0720761483998913,32,644416
33,0.07599673927061251,33,664554
34,0.06993446474645848,34,684692
35,0.06673548175911442,35,704830
36,0.052375186173555355,36,724968
37,0.05609762503187715,37,745106
38,0.05633866126194109,38,765244
39,0.056147124418821914,39,785382
40,0.05241558106482386,40,805520
41,0.05833975831262089,41,825658
42,0.06306443815513518,42,845796
43,0.057366824723456444,43,865934
44,0.04595427454917228,44,886072
45,0.045709508185642234,45,906210
46,0.0505511490211169,46,926348
47,0.053582460975687196,47,946486
48,0.053543341126359,48,966624
49,0.05030171204296913,49,986762
50,0.04392545896810951,50,1006900
51,0.038487769510173575,51,1027038
52,0.039883267601468486,52,1047176
53,0.037960115511516235,53,1067314
54,0.036981046235172066,54,1087452
55,0.03846701500399724,55,1107590
56,0.03884348347824146,56,1127728
57,0.03710747858377389,57,1147866
58,0.03751436072729658,58,1168004
59,0.03641082877967222,59,1188142
60,0.034204263840022175,60,1208280
61,0.03336365421558379,61,1228418
62,0.0329355663707267,62,1248556
63,0.0347885578284548,63,1268694
64,0.03390366082520224,64,1288832
65,0.029124184370676653,65,1308970
66,0.030328666964574924,66,1329108
67,0.028989231159830542,67,1349246
68,0.02658157358175578,68,1369384
69,0.02887217605491238,69,1389522
70,0.029242166576111395,70,1409660
71,0.02733380086702325,71,1429798
72,0.02770147907121867,72,1449936
73,0.03430978436518839,73,1470074
74,0.03635640180078514,74,1490212
75,0.03522978808630001,75,1510350
76,0.03098861355595134,76,1530488
77,0.03249888129424455,77,1550626
78,0.03115440347435472,78,1570764
79,0.02574833685252942,79,1590902
80,0.02114971171743041,80,1611040
81,0.022389261237609426,81,1631178
82,0.022761790480393396,82,1651316
83,0.022746570717022352,83,1671454
84,0.02611313735474413,84,1691592
85,0.028342123372582628,85,1711730
86,0.028300143734506455,86,1731868
87,0.027879197517701848,87,1752006
88,0.027243376975239653,88,1772144
89,0.028315535006882997,89,1792282
90,0.02801062713635044,90,1812420
91,0.02589538581036377,91,1832558
92,0.02323274825148658,92,1852696
93,0.022040287756872223,93,1872834
94,0.021838912659974064,94,1892972
95,0.02163753731840018,95,1913110
96,0.021357316792942838,96,1933248
97,0.019576483615156404,97,1953386
98,0.02069262494894808,98,1973524
99,0.02023217904446284,99,1993662
100,0.020172216153037603,100,2013800
101,0.02223812740471398,101,2033938
102,0.021417147987137564,102,2054076
103,0.021295852972412488,103,2074214
104,0.0221616216115052,104,2094352
105,0.022284521446129413,105,2114490
106,0.02259237033274808,106,2134628
107,0.022328988864640797,107,2154766
108,0.022238457579372706,108,2174904
109,0.02144283731538621,109,2195042
110,0.01925664319506737,110,2215180
111,0.01972111944165711,111,2235318
112,0.01954572118292175,112,2255456
113,0.01817980066148228,113,2275594
114,0.0178745365919053,114,2295732
115,0.017870763254755395,115,2315870
116,0.017909930822543052,116,2336008
117,0.017933712280863046,117,2356146
118,0.01903251519453686,118,2376284
119,0.020100809092998162,119,2396422
120,0.022207128597649506,120,2416560
121,0.023085336441681314,121,2436698
122,0.022678005040629223,122,2456836
123,0.02144821201494379,123,2476974
124,0.01932473581338401,124,2497112
