step,Subgame3/conv,Subgame3/iters
0,27.81675537109375,0
1,27.81675537109375,1
2,20.209498901367187,2
3,13.939666137695312,3
4,8.983371276855468,4
5,6.013040161132812,5
6,4.264922637939453,6
7,3.299656982421875,7
8,2.6959912109375,8
9,2.318824920654297,9
10,2.0725927734375,10
11,1.8869562530517578,11
12,1.743940658569336,12
13,1.6329217529296876,13
14,1.538603515625,14
15,1.4671248626708984,15
16,1.4115284729003905,16
17,1.3510320281982422,17
18,1.289640884399414,18
19,1.2433014297485352,19
20,1.1920938110351562,20
21,1.1447081756591797,21
22,1.100829849243164,22
23,1.0620525932312013,23
24,1.0279713439941407,24
25,0.9986188125610351,25
26,0.9729754638671875,26
27,0.9511129760742187,27
28,0.9317631912231445,28
29,0.9136351776123047,29
30,0.895463695526123,30
31,0.8802942276000977,31
32,0.8641568565368652,32
33,0.8464840316772461,33
34,0.8316808700561523,34
35,0.8149911880493164,35
36,0.7969004821777343,36
37,0.7814625358581543,37
38,0.7657907104492188,38
39,0.7498516273498536,39
40,0.7366375541687011,40
41,0.7227038955688476,41
42,0.707873878479004,42
43,0.6966075420379638,43
44,0.6844475555419922,44
45,0.6726688480377198,45
46,0.6610804843902588,46
47,0.6500528049468994,47
48,0.6398430252075196,48
49,0.6289234828948974,49
50,0.6189102935791015,50
51,0.6084716987609863,51
52,0.5988391304016113,52
53,0.5895805549621582,53
54,0.5808198356628418,54
55,0.5723046112060547,55
56,0.563842945098877,56
57,0.5555041599273681,57
58,0.5471011924743653,58
59,0.5394201564788819,59
60,0.5313740921020508,60
61,0.5233673286437989,61
62,0.5160405921936035,62
63,0.5097237777709961,63
64,0.5029271697998047,64
65,0.4968379783630371,65
66,0.49133106231689455,66
67,0.4855519962310791,67
68,0.47935651779174804,68
69,0.4738008689880371,69
70,0.46970578193664553,70
71,0.4639337635040283,71
72,0.4580619621276856,72
73,0.4534373474121094,73
74,0.4472927474975586,74
75,0.442061128616333,75
76,0.4363677978515625,76
77,0.4306212139129639,77
78,0.4255347633361816,78
79,0.41932771682739256,79
80,0.4142445182800293,80
81,0.40862241744995115,81
82,0.4025964546203613,82
83,0.3979013919830322,83
84,0.39285305976867674,84
85,0.3874641513824463,85
86,0.38278057098388674,86
87,0.37777902603149416,87
88,0.37354236602783203,88
89,0.368922758102417,89
90,0.36491220474243163,90
91,0.3606564044952393,91
92,0.35688611030578615,92
93,0.35287319660186767,93
94,0.3492118692398071,94
95,0.3453997659683228,95
96,0.34187238216400145,96
97,0.33835195064544676,97
98,0.33492288589477537,98
99,0.3315184307098389,99
100,0.3281112575531006,100
101,0.32474656105041505,101
102,0.3214779472351074,102
103,0.3182846164703369,103
104,0.3151338863372803,104
105,0.31202939033508303,105
106,0.30902700901031493,106
107,0.3061410617828369,107
108,0.3033173942565918,108
109,0.30051091194152835,109
110,0.29770569801330565,110
111,0.2949067783355713,111
112,0.2921606636047363,112
113,0.2894885444641113,113
114,0.28685893535614015,114
115,0.28426409244537354,115
116,0.2816696548461914,116
117,0.27910473823547366,117
118,0.27659192085266116,118
119,0.2740965461730957,119
120,0.27161088943481443,120
121,0.269147047996521,121
122,0.2667203426361084,122
123,0.26430301666259765,123
124,0.2618748760223389,124
125,0.2594563865661621,125
126,0.25706254482269286,126
127,0.25466926574707033,127
128,0.2522663164138794,128
129,0.24986833572387696,129
130,0.24748819351196288,130
131,0.24515713691711427,131
132,0.24285895347595216,132
133,0.24059077262878417,133
134,0.23834288120269775,134
135,0.23612597465515137,135
136,0.2339460849761963,136
137,0.2317980098724365,137
138,0.22968008041381835,138
139,0.2276028299331665,139
140,0.22556311130523682,140
141,0.22356133460998534,141
142,0.22158671379089356,142
143,0.2196314239501953,143
144,0.21770339965820312,144
145,0.21581626892089845,145
146,0.21396949291229247,146
147,0.21216211318969727,147
148,0.21038685798645018,148
149,0.20863367080688477,149
150,0.2069072723388672,150
151,0.20521388053894044,151
152,0.20354013919830322,152
153,0.20187230110168458,153
154,0.20021499633789064,154
155,0.1985722541809082,155
156,0.19695605278015138,156
157,0.19534676074981688,157
158,0.19374276161193849,158
159,0.19214612007141113,159
160,0.19055959701538086,160
161,0.18897195816040038,161
162,0.18738869667053223,162
163,0.18581341743469237,163
164,0.18426211357116698,164
165,0.182734375,165
166,0.18121762275695802,166
167,0.1797233486175537,167
168,0.17824700355529785,168
169,0.17678313732147216,169
170,0.17535083293914794,170
171,0.17395523071289062,171
172,0.1725839376449585,172
173,0.17125574588775636,173
174,0.16996840476989747,174
175,0.16871027946472167,175
176,0.16747647285461426,176
177,0.16627781867980956,177
178,0.16510749816894532,178
179,0.16397430896759033,179
180,0.16285402297973633,180
181,0.16174761772155763,181
182,0.16065009593963622,182
183,0.15955813407897948,183
184,0.15846959114074707,184
185,0.15738643646240236,185
186,0.15631052017211913,186
187,0.15524886131286622,187
188,0.15418975353240966,188
189,0.1531446123123169,189
190,0.15210786819458008,190
191,0.1510776948928833,191
192,0.1500627040863037,192
193,0.14905903816223146,193
194,0.14806435585021974,194
