step,LiarsDice3/conv,LiarsDice3/iters,LiarsDice3/nodes_touched
0,0.5555555555555555,0,0
1,0.5555555555555555,1,2294
2,0.33146411689574196,2,4588
3,0.30690809963552457,3,6882
4,0.2057459205675583,4,9176
5,0.12462019879255941,5,11470
6,0.12871426856754753,6,13764
7,0.0933426236413874,7,16058
8,0.07082443267038008,8,18352
9,0.04862996009237906,9,20646
10,0.03529866442639898,10,22940
11,0.02900107158521746,11,25234
12,0.02544660728398168,12,27528
13,0.021570806618836882,13,29822
14,0.017748004570949202,14,32116
15,0.01470461271008558,15,34410
16,0.011185120192284972,16,36704
17,0.008498253225067802,17,38998
18,0.00636152963236148,18,41292
19,0.005341837893887834,19,43586
20,0.004597330870349442,20,45880
21,0.003985001388675004,21,48174
22,0.003476769327510676,22,50468
23,0.0030514198885066637,23,52762
24,0.002692722366918976,24,55056
25,0.0023881157643263207,25,57350
26,0.0021277761002907597,26,59644
27,0.0019039451079225084,27,61938
28,0.0017104407049394407,28,64232
29,0.0015422956864877546,29,66526
30,0.0013954880590061128,30,68820
31,0.0012667376726097357,31,71114
32,0.0011533513634530562,32,73408
33,0.001053103966629651,33,75702
34,0.0009641461160323564,34,77996
35,0.0008849322332597567,35,80290
36,0.0008141638651056951,36,82584
37,0.0007507447850869653,37,84878
38,0.0006937451810243647,38,87172
39,0.0006423729112903162,39,89466
40,0.0005959502980082687,40,91760
41,0.0005538952855842702,41,94054
42,0.000515706062063824,42,96348
43,0.00048094844346076304,43,98642
44,0.00044924547490306915,44,100936
45,0.00042026881980894437,45,103230
46,0.00039373159851699424,46,105524
47,0.0003693824075561153,47,107818
48,0.0003470003050152909,48,110112
49,0.0003263905899295663,49,112406
50,0.0003073812369925183,50,114700
51,0.00028981987431144635,51,116994
52,0.0002735712128945286,52,119288
53,0.00025851485330633667,53,121582
54,0.0002445434083570078,54,123876
55,0.00023156089150408454,55,126170
56,0.0002194813293948661,56,128464
57,0.00020822756407955917,57,130758
58,0.00019773021621636439,58,133052
59,0.00018792678532834894,59,135346
60,0.0001787608670627827,60,137640
61,0.00017018147061053507,61,139934
62,0.00016214242209403734,62,142228
63,0.0001546018419326528,63,144522
64,0.0001475216860230555,64,146816
65,0.00014086734210109336,65,149110
66,0.00013460727393009575,66,151404
67,0.0001287127070324981,67,153698
68,0.00012315735058805732,68,155992
69,0.00011791715088167037,69,158286
70,0.00011297007233104783,70,160580
71,0.00010829590267161932,71,162874
72,0.00010387607934103649,72,165168
73,9.969353450271778e-05,73,167462
74,9.57325564876002e-05,74,169756
75,9.197866572256685e-05,75,172050
76,8.841850346387459e-05,76,174344
77,8.503973186750613e-05,77,176638
78,8.183094411338271e-05,78,178932
79,7.878158346010661e-05,79,181226
80,7.588187024325926e-05,80,183520
81,7.31227359518985e-05,81,185814
82,7.049576361979615e-05,82,188108
83,6.799313385912747e-05,83,190402
84,6.560757594306632e-05,84,192696
85,6.333232341133865e-05,85,194990
86,6.116107373491803e-05,86,197284
87,5.908795162516689e-05,87,199578
88,5.710747562327756e-05,88,201872
89,5.521452764171292e-05,89,204166
