step,GoofSpiel3/conv,GoofSpiel3/iters,GoofSpiel3/nodes_touched
0,0.6666666666666666,0,0
1,0.6666666666666666,1,134
2,0.39583333333333337,2,268
3,0.2638888888888889,3,402
4,0.19791666666666669,4,536
5,0.15833333333333333,5,670
6,0.13194444444444445,6,804
7,0.11309523809523808,7,938
8,0.09895833333333333,8,1072
9,0.08796296296296297,9,1206
10,0.07916666666666668,10,1340
11,0.07196969696969698,11,1474
12,0.06597222222222222,12,1608
13,0.060897435897435896,13,1742
14,0.056547619047619055,14,1876
15,0.05277777777777778,15,2010
16,0.049479166666666664,16,2144
17,0.04656862745098039,17,2278
18,0.04398148148148148,18,2412
19,0.041666666666666664,19,2546
20,0.03958333333333333,20,2680
21,0.037698412698412696,21,2814
22,0.03598484848484848,22,2948
23,0.034420289855072464,23,3082
24,0.03298611111111111,24,3216
25,0.03166666666666666,25,3350
26,0.030448717948717948,26,3484
27,0.029320987654320986,27,3618
28,0.02827380952380952,28,3752
29,0.02729885057471264,29,3886
30,0.02638888888888889,30,4020
31,0.02553763440860215,31,4154
32,0.024739583333333332,32,4288
33,0.02398989898989899,33,4422
34,0.023284313725490197,34,4556
35,0.022619047619047622,35,4690
36,0.02199074074074074,36,4824
37,0.0213963963963964,37,4958
38,0.020833333333333336,38,5092
39,0.0202991452991453,39,5226
40,0.019791666666666666,40,5360
41,0.019308943089430895,41,5494
42,0.01884920634920635,42,5628
43,0.018410852713178296,43,5762
44,0.017992424242424244,44,5896
45,0.017592592592592594,45,6030
46,0.017210144927536232,46,6164
47,0.016843971631205674,47,6298
48,0.016493055555555556,48,6432
49,0.016156462585034014,49,6566
50,0.01583333333333333,50,6700
51,0.015522875816993463,51,6834
52,0.015224358974358974,52,6968
53,0.014937106918238994,53,7102
54,0.014660493827160493,54,7236
55,0.014393939393939395,55,7370
56,0.01413690476190476,56,7504
57,0.013888888888888888,57,7638
58,0.013649425287356323,58,7772
59,0.013418079096045199,59,7906
60,0.013194444444444446,60,8040
61,0.012978142076502733,61,8174
62,0.012768817204301074,62,8308
63,0.012566137566137565,63,8442
64,0.012369791666666666,64,8576
65,0.01217948717948718,65,8710
66,0.011994949494949496,66,8844
67,0.01181592039800995,67,8978
68,0.011642156862745098,68,9112
69,0.01147342995169082,69,9246
70,0.011309523809523808,70,9380
71,0.011150234741784037,71,9514
72,0.01099537037037037,72,9648
73,0.010844748858447488,73,9782
74,0.010698198198198198,74,9916
75,0.010555555555555554,75,10050
76,0.010416666666666666,76,10184
77,0.01028138528138528,77,10318
78,0.010149572649572648,78,10452
79,0.010021097046413501,79,10586
80,0.009895833333333333,80,10720
81,0.009773662551440328,81,10854
82,0.009654471544715448,82,10988
83,0.009538152610441766,83,11122
84,0.009424603174603174,84,11256
85,0.009313725490196078,85,11390
86,0.009205426356589146,86,11524
87,0.009099616858237548,87,11658
88,0.00899621212121212,88,11792
89,0.008895131086142321,89,11926
90,0.008796296296296295,90,12060
91,0.0086996336996337,91,12194
92,0.008605072463768116,92,12328
93,0.008512544802867384,93,12462
94,0.008421985815602837,94,12596
95,0.008333333333333333,95,12730
96,0.008246527777777778,96,12864
97,0.00816151202749141,97,12998
98,0.008078231292517005,98,13132
99,0.007996632996632995,99,13266
100,0.007916666666666666,100,13400
101,0.007838283828382836,101,13534
102,0.007761437908496731,102,13668
103,0.007686084142394822,103,13802
104,0.007612179487179487,104,13936
105,0.00753968253968254,105,14070
106,0.007468553459119497,106,14204
107,0.007398753894080996,107,14338
108,0.0073302469135802465,108,14472
109,0.0072629969418960254,109,14606
110,0.0071969696969696965,110,14740
111,0.007132132132132133,111,14874
112,0.00706845238095238,112,15008
113,0.007005899705014749,113,15142
114,0.006944444444444444,114,15276
115,0.0068840579710144935,115,15410
116,0.006824712643678161,116,15544
117,0.006766381766381766,117,15678
118,0.0067090395480225995,118,15812
119,0.00665266106442577,119,15946
120,0.006597222222222221,120,16080
121,0.006542699724517906,121,16214
122,0.006489071038251366,122,16348
123,0.006436314363143632,123,16482
124,0.006384408602150537,124,16616
125,0.006333333333333333,125,16750
126,0.006283068783068783,126,16884
127,0.006233595800524934,127,17018
