step,GoofSpiel4/conv,GoofSpiel4/iters,GoofSpiel4/nodes_touched
0,0.7083333333333333,0,0
1,0.7083333333333333,1,2154
2,0.38876262626262637,2,4308
3,0.40421586456990255,3,6462
4,0.3327359900425881,4,8616
5,0.5112716276341669,5,10770
6,0.36383468550860665,6,12924
7,0.30837379767983975,7,15078
8,0.21895321224331743,8,17232
9,0.20483434832035766,9,19386
10,0.191010989717098,10,21540
11,0.22134133765251585,11,23694
12,0.17692368309914336,12,25848
13,0.13686229966368063,13,28002
14,0.11698611236513437,14,30156
15,0.08643844289037941,15,32310
16,0.07153746805049538,16,34464
17,0.06780737626664377,17,36618
18,0.0547743070754904,18,38772
19,0.04820348339953863,19,40926
20,0.03880551500551442,20,43080
21,0.04022390975486463,21,45234
22,0.05519040723005744,22,47388
23,0.06390912642160684,23,49542
24,0.07387732573120383,24,51696
25,0.07990968817747243,25,53850
26,0.06732696562128843,26,56004
27,0.0488918547808628,27,58158
28,0.030319635896909482,28,60312
29,0.033363151450609876,29,62466
30,0.047202505666915744,30,64620
31,0.05616988393035715,31,66774
32,0.05636458893649613,32,68928
33,0.05454925839990264,33,71082
34,0.047910174255811386,34,73236
35,0.037700194095483,35,75390
36,0.025595469816122075,36,77544
37,0.013912945520693207,37,79698
38,0.019531439407346786,38,81852
39,0.02649113900708646,39,84006
40,0.03233539001971622,40,86160
41,0.03610384419088369,41,88314
42,0.041041401654436205,42,90468
43,0.044608208697240574,43,92622
44,0.042003344846608726,44,94776
45,0.03304341331539499,45,96930
46,0.023061029590115453,46,99084
47,0.0139506391882099,47,101238
48,0.015826482452101793,48,103392
49,0.0220998181281829,49,105546
50,0.02700232422877233,50,107700
51,0.029562873571018077,51,109854
52,0.029320311493576844,52,112008
53,0.026845574745377392,53,114162
54,0.02503834427991953,54,116316
55,0.023202627247549644,55,118470
56,0.02096799606207911,56,120624
57,0.01826867953723056,57,122778
58,0.014947232197975205,58,124932
59,0.011138377288846773,59,127086
60,0.00714675565236198,60,129240
61,0.003800066589674397,61,131394
62,0.0051717519173098535,62,133548
63,0.007089105573473345,63,135702
64,0.008889386523880098,64,137856
65,0.011355125778307194,65,140010
66,0.014112043194325387,66,142164
67,0.016452686135831604,67,144318
68,0.018096589209610364,68,146472
69,0.01871800660877246,69,148626
70,0.018113870047543584,70,150780
71,0.016354818976006588,71,152934
72,0.014496096801775184,72,155088
73,0.012822060783043905,73,157242
74,0.010711883826829846,74,159396
75,0.008453383891778684,75,161550
76,0.006279825382431253,76,163704
77,0.00516209249510532,77,165858
78,0.005816418775262962,78,168012
79,0.0080602709525157,79,170166
80,0.00959826727894305,80,172320
81,0.010477079178227593,81,174474
82,0.010931397238289838,82,176628
83,0.011146981312946471,83,178782
84,0.011333406659281849,84,180936
85,0.011498244914061108,85,183090
86,0.01111464668570157,86,185244
87,0.010857642445094623,87,187398
88,0.01072432324944478,88,189552
89,0.010255968014580594,89,191706
90,0.009567053198645379,90,193860
91,0.008678337897151141,91,196014
92,0.007505860810818053,92,198168
93,0.005939946401061504,93,200322
94,0.0040067300673500336,94,202476
95,0.0034230832724044683,95,204630
