step,BattleShip3/conv,BattleShip3/iters,BattleShip3/nodes_touched
0,0.4571428571428572,0,0
1,0.45714285714285713,1,1465214
2,1.3387057387057388,2,2930428
3,0.8267412886807063,3,4395642
4,0.5748826204514899,4,5860856
5,0.480875784684897,5,7326070
6,0.4222786234598882,6,8791284
7,0.36170581576969424,7,10256498
8,0.32047336092941636,8,11721712
9,0.3489233640094006,9,13186926
10,0.35967569347917644,10,14652140
11,0.3547105072613456,11,16117354
12,0.3372207396212186,12,17582568
13,0.3218286277859574,13,19047782
14,0.2931772986256789,14,20512996
15,0.251400411158482,15,21978210
16,0.23428868322371124,16,23443424
17,0.21547992979898767,17,24908638
18,0.1862382622455305,18,26373852
19,0.1630910422356077,19,27839066
20,0.14376933336520983,20,29304280
21,0.13163344491130133,21,30769494
22,0.12088785873205403,22,32234708
23,0.10902960947590268,23,33699922
24,0.09849214374751983,24,35165136
25,0.09164253413817736,25,36630350
26,0.09007255564076046,26,38095564
27,0.09075899150186767,27,39560778
28,0.09139288806261639,28,41025992
29,0.08532273287504898,29,42491206
30,0.07586237741619607,30,43956420
31,0.07293756873114063,31,45421634
32,0.07035889274703801,32,46886848
33,0.06865843560956732,33,48352062
34,0.0687597977277188,34,49817276
35,0.0693770112599094,35,51282490
36,0.06972634927032792,36,52747704
37,0.06920704253607865,37,54212918
38,0.0718131053551449,38,55678132
39,0.07134619846844452,39,57143346
40,0.06917883446314055,40,58608560
41,0.06465473314056219,41,60073774
42,0.059435003454625546,42,61538988
43,0.054312269991416084,43,63004202
44,0.048720114020799926,44,64469416
45,0.04513679561045003,45,65934630
46,0.04436259973289104,46,67399844
47,0.043109657705902096,47,68865058
48,0.040797606354842836,48,70330272
49,0.0382945726679952,49,71795486
50,0.038851112671194316,50,73260700
51,0.03902738857206185,51,74725914
52,0.03831775674294301,52,76191128
53,0.03716836954659,53,77656342
54,0.03584025735747151,54,79121556
55,0.03360595215560787,55,80586770
56,0.0335953012631124,56,82051984
57,0.03347652947704119,57,83517198
58,0.033719945528337236,58,84982412
59,0.03369604591932132,59,86447626
60,0.0328486207241927,60,87912840
61,0.03252158235287689,61,89378054
62,0.03280939900764507,62,90843268
63,0.03254108099909195,63,92308482
64,0.03221257082800642,64,93773696
65,0.031247016077358136,65,95238910
66,0.030483157954292545,66,96704124
67,0.02987008056781039,67,98169338
68,0.029785782041243283,68,99634552
69,0.029728089248245215,69,101099766
70,0.029412295147890177,70,102564980
