step,LiarsDice4/conv,LiarsDice4/iters,LiarsDice4/nodes_touched,LiarsDice4/tau,LiarsDice4/alpha,LiarsDice4/beta,LiarsDice4/gamma
0,0.6550595238095238,0,0,,,,
1,0.6550595238095238,1,16362,1,1.0224879191439482,-0.8825253571253122,4.9972556300742
2,0.3108332479742594,2,32724,1,1.0255333535840228,-0.8838958880641179,4.997224649023956
3,0.47139274425351985,3,49086,1,0.9965663940092613,-0.8897015171233222,4.997427262291364
4,0.41756974101264666,4,65448,1,1.0174008563313661,-0.8884493630661012,4.997268247009389
5,0.31667261717076145,5,81810,1,1.01520898027557,-0.8905796625691313,4.997275989040307
6,0.2735279682968839,6,98172,1,1.0063560300357643,-0.8938100475627109,4.997332433497056
7,0.22196584627559016,7,114534,1,1.0030979294151439,-0.8962818351067272,4.997347693714158
8,0.1452208638746572,8,130896,1,0.9971857131454922,-0.899317925836502,4.997381968621058
9,0.11981203719053823,9,147258,1,0.9821827142522319,-0.9044004728509369,4.9974801129751985
10,0.10971903861194598,10,163620,1,0.9770365854495131,-0.907688548610412,4.997507823218697
11,0.09531230611422328,11,179982,1,0.9762840166196796,-0.9100409219034109,4.997504837747774
12,0.08769048821531264,12,196344,1,0.9733152013732471,-0.9129773887643795,4.997517198337894
13,0.09990687329175484,13,212706,1,0.9727575052638189,-0.9153655010494941,4.997512751119701
14,0.07538337307676961,14,229068,1,0.981192411057459,-0.9154856557388225,4.997445091352681
15,0.06702329005406896,15,245430,1,0.9722890323384459,-0.9200651261797632,4.997499139542438
16,0.08601490056394234,16,261792,1,0.9702950938224628,-0.922947642385672,4.997504509872362
17,0.06884379288661115,17,278154,1,0.9837452518021548,-0.9216352651609547,4.99740060539961
18,0.05348849841377003,18,294516,1,0.9773032831755115,-0.9257051166161234,4.997437720308608
19,0.05768098606613741,19,310878,1,0.9696384943159706,-0.9303242742776021,4.997483033700023
20,0.05020158777177644,20,327240,1,0.9757474659196508,-0.9309393635533658,4.997430885570838
21,0.04591938427767207,21,343602,1,0.9728482786354484,-0.9342592924200612,4.997442477369345
22,0.041455048602553744,22,359964,1,0.9720402317876458,-0.9369978591248485,4.997439126971883
23,0.03716797567766837,23,376326,1,0.9706808293435047,-0.9399542014370319,4.997439637045911
24,0.03980924845718821,24,392688,1,0.969032629631708,-0.943056529770814,4.997442142328502
25,0.0437874909758768,25,409050,1,0.974855861428483,-0.9437005898375732,4.997391029355791
26,0.030894124417587286,26,425412,1,0.9818263354453012,-0.9439933097374236,4.997330688571949
27,0.041537835225430496,27,441774,1,0.9700701654298198,-0.9505570541978268,4.997406489118797
28,0.02806104615647558,28,458136,1,0.9855147066729142,-0.9479298114887049,4.997283718879832
29,0.030796435861946497,29,474498,1,0.9718976580366578,-0.9552656654173792,4.997373900892918
30,0.029029010629751217,30,490860,1,0.9787654382206104,-0.9554997473595261,4.997313684431822
31,0.02184242641168504,31,507222,1,0.9792197245505196,-0.9580362719771627,4.997300218116445
32,0.020366710260012133,32,523584,1,0.9701445363095407,-0.9641663977128618,4.997356581505513
33,0.0216050802109816,33,539946,1,0.9701259615371756,-0.9669851482673519,4.997346462187468
34,0.017827185348817325,34,556308,1,0.9755730855988867,-0.9676981702978724,4.997296233862124
35,0.015055021635812404,35,572670,1,0.9703670362010914,-0.9725950674304853,4.997323812932449
36,0.014497843432528669,36,589032,1,0.9661371421937848,-0.9771882119727093,4.997343775506767
37,0.012339244559530727,37,605394,1,0.9674771892951135,-0.9795638314336916,4.9973233637850445
38,0.014256647545481262,38,621756,1,0.9635683096702201,-0.9841157907031439,4.997340618460919
39,0.014222261208724128,39,638118,1,0.972659009925323,-0.9833248173388349,4.997263597088239
40,0.017042301005263848,40,654480,1,0.9755113573300866,-0.9851094918671419,4.997231273320596
41,0.0171682103850139,41,670842,1,0.986204890296412,-0.9836737654962466,4.997139083159265
42,0.01577489600918537,42,687204,1,0.9894970110501611,-0.9852798276022312,4.997102025036347
43,0.019335710080434606,43,703566,1,0.9888497230935829,-0.9885185685304974,4.997095224616968
44,0.01699918331056305,44,719928,1,1.000576314437796,-0.9866655939770395,4.9969906634538095
45,0.019243338535559942,45,736290,1,0.9980350835762568,-0.9906888233388949,4.996998779194627
46,0.017755845991641574,46,752652,1,1.0063753711169363,-0.9902324591278067,4.996918933683622
47,0.015968903667538226,47,769014,1,1.0059148800174262,-0.9934176092611118,4.996910086608453
48,0.01895308579635188,48,785376,1,1.0043451728590744,-0.9971020141694344,4.996910155720659
49,0.016473591893525524,49,801738,1,1.0147658183931245,-0.995765264423637,4.996810787449647
50,0.014601660931824925,50,818100,1,1.011717891066912,-1.0000836670800357,4.99682316512358
51,0.01374892277690963,51,834462,1,1.0095132322492226,-1.0040981979255643,4.99682823661612
52,0.013461952803220732,52,850824,1,1.0099245695187633,-1.0070214296280748,4.996811336662676
53,0.01132627335394545,53,867186,1,1.0120315870585115,-1.0092267071889953,4.9967800347844165
54,0.010221296307595301,54,883548,1,1.0075512835544034,-1.014318348696965,4.996803633561768
55,0.00941216531329108,55,899910,1,1.006107209473094,-1.018109253288659,4.99680160869902
56,0.009174023531887898,56,916272,1,1.0055356722447297,-1.0215342274804586,4.996792155718455
57,0.008878665834303218,57,932634,1,1.0074374597916624,-1.0238765223959991,4.996761977776432
58,0.006988998889972689,58,948996,1,1.0090313555836061,-1.0263639398065765,4.996734056390029
59,0.006890770796961741,59,965358,1,1.0016022010784507,-1.0329071275385635,4.996780917927452
60,0.005990843180534881,60,981720,1,1.0039983258819174,-1.03506287315866,4.996746207889734
61,0.006443078161741639,61,998082,1,1.000891968677383,-1.039721590311076,4.996756688386293
62,0.004906764661465668,62,1014444,1,1.0070965155075626,-1.040164351821108,4.996689826921897
63,0.004661612944509563,63,1030806,1,0.9981723983443158,-1.047524962972518,4.996748141360154
64,0.0042328341259320924,64,1047168,1,0.9989351016867238,-1.05047749777449,4.99672616508985
65,0.004473336874970174,65,1063530,1,0.9977094353391072,-1.0543652184319194,4.996720284581624
66,0.00396029793055639,66,1079892,1,1.0031540077126013,-1.0551659217742189,4.996659109579417
67,0.0033221890583215487,67,1096254,1,1.0008088037064349,-1.059601305521328,4.996662192297137
68,0.003300502224749348,68,1112616,1,0.9960820812669562,-1.0651881695861796,4.9966845804163995
69,0.003361200394274143,69,1128978,1,0.998805556075457,-1.0672840505221006,4.99664535251036
70,0.003005959943047476,70,1145340,1,1.0026280493485709,-1.0688656831036307,4.99659645890287
71,0.0025381973396475625,71,1161702,1,1.000709058567314,-1.0731826470194301,4.996595197499196
72,0.0023903569488490997,72,1178064,1,0.9962414723222859,-1.0787512877285668,4.996614803705354
73,0.0027084532713179607,73,1194426,1,0.9965976576252731,-1.0820283028748567,4.996594163233901
74,0.002139074426887433,74,1210788,1,1.0051591616172564,-1.0813503015072286,4.99650433485621
75,0.0021174328907197122,75,1227150,1,0.9977027367500038,-1.0884348632075744,4.996548860931725
76,0.0018508884543677606,76,1243512,1,1.0002696954508785,-1.0906720611829315,4.996508903265503
77,0.0023672044564070766,77,1259874,1,0.997308378285291,-1.0956388042757783,4.996515078288123
78,0.0014819742890092025,78,1276236,1,1.0112962900031572,-1.0922825760350927,4.996376651238549
79,0.001801657263742467,79,1292598,1,0.993454621507829,-1.1046540414844155,4.9965092809032665
80,0.0014235854403943995,80,1308960,1,1.0051771693036935,-1.1023492396416865,4.996390637052261
81,0.001867206670472417,81,1325322,1,0.9976937674796709,-1.1096758178678665,4.996434731253432
82,0.0013117087497447263,82,1341684,1,1.0128493733429687,-1.1056506258343282,4.996283818733854
83,0.0013101542540741792,83,1358046,1,1.000082042082933,-1.1156751573259502,4.996374291039319
84,0.001590248302982128,84,1374408,1,1.0030542725548244,-1.1177827144661845,4.996328238226656
85,0.001167518888562577,85,1390770,1,1.0147800892577095,-1.1154484931052524,4.996204393759255
86,0.0012921204672448824,86,1407132,1,1.003950097501982,-1.1246158036896228,4.9962785577306805
87,0.000993732059684234,87,1423494,1,1.0115384290275156,-1.1243691302553436,4.996190376737667
88,0.0014905233503981485,88,1439856,1,1.0027811854661985,-1.1325912658341453,4.996245723357222
89,0.0008391350907133305,89,1456218,1,1.024083503150658,-1.1252664235964929,4.9960325853891625
90,0.0009668069605970921,90,1472580,1,1.001247470329797,-1.140852595540538,4.99621503080421
91,0.0012503869428928047,91,1488942,1,1.0106525749664343,-1.1396157587993183,4.996109298694229
92,0.0008309154145179076,92,1505304,1,1.0253296797308773,-1.1356714512676447,4.995952049091272
93,0.0010207392008719056,93,1521666,1,1.0099062260568887,-1.1475218733590067,4.996069781910339
94,0.0007597828494707859,94,1538028,1,1.0222629428696437,-1.144734848202949,4.995933129099133
95,0.001156226544292635,95,1554390,1,1.0119520724373068,-1.1540075330119604,4.996003839067096
96,0.0007140632351641564,96,1570752,1,1.034069437699765,-1.1460447378180774,4.995772522895702
97,0.0006883395171746326,97,1587114,1,1.015240635321971,-1.1598718519372162,4.995924924357402
98,0.0011435746757990778,98,1603476,1,1.0166302774025757,-1.1629590304305442,4.995887131003338
99,0.0004864500937449938,99,1619838,1,1.0428339123950867,-1.1527531858557019,4.99561028900097
100,0.0008347855193853726,100,1636200,1,1.0070069230596461,-1.176072178285089,4.99592499567398
101,0.0007887296447461056,101,1652562,1,1.034620814558131,-1.164758054928487,4.995638340537477
102,0.0007424343361440988,102,1668924,1,1.0351103625641092,-1.1683507315981325,4.995606745625578
103,0.0007083338931525018,103,1685286,1,1.0354277872784243,-1.1720537153326747,4.995576460670728
104,0.0005227049685175636,104,1701648,1,1.0363610913782755,-1.1754369240583074,4.995539711314848
105,0.0009588566274714785,105,1718010,1,1.0255372138041583,-1.1853677842916677,4.9956177929808145
106,0.0004681653889774817,106,1734372,1,1.0564934477969263,-1.1722911912996952,4.995278180850637
107,0.0006123416722383888,107,1750734,1,1.0266442483722626,-1.1927018302949541,4.995550738337763
108,0.0008880001377304728,108,1767096,1,1.042044861489873,-1.1880264271645338,4.995368552468903
