step,GoofSpiel3/conv,GoofSpiel3/iters,GoofSpiel3/nodes_touched
0,0.6666666666666666,0,0
1,0.6666666666666666,1,134
2,0.3055555555555555,2,268
3,0.15277777777777776,3,402
4,0.09166666666666667,4,536
5,0.06111111111111111,5,670
6,0.04365079365079365,6,804
7,0.03273809523809523,7,938
8,0.02546296296296296,8,1072
9,0.02037037037037037,9,1206
10,0.016666666666666666,10,1340
11,0.013888888888888888,11,1474
12,0.011752136752136752,12,1608
13,0.010073260073260072,13,1742
14,0.00873015873015873,14,1876
15,0.007638888888888889,15,2010
16,0.006740196078431372,16,2144
17,0.00599128540305011,17,2278
18,0.005360623781676413,18,2412
19,0.004824561403508771,19,2546
20,0.004365079365079365,20,2680
21,0.003968253968253968,21,2814
22,0.0036231884057971015,22,2948
23,0.0033212560386473426,23,3082
24,0.0030555555555555553,24,3216
25,0.0028205128205128203,25,3350
26,0.0026115859449192783,26,3484
27,0.0024250440917107582,27,3618
28,0.002257799671592775,28,3752
29,0.00210727969348659,29,3886
30,0.0019713261648745518,30,4020
31,0.0018481182795698921,31,4154
32,0.001736111111111111,32,4288
33,0.0016339869281045752,33,4422
34,0.0015406162464985994,34,4556
35,0.001455026455026455,35,4690
36,0.0013763763763763764,36,4824
37,0.0013039355144618303,37,4958
38,0.0012370670265407107,38,5092
39,0.0011752136752136752,39,5226
40,0.0011178861788617885,40,5360
41,0.001064653503677894,41,5494
42,0.0010151347360649685,42,5628
43,0.0009689922480620155,43,5762
44,0.000925925925925926,44,5896
45,0.0008856682769726248,45,6030
46,0.0008479802651865556,46,6164
47,0.0008126477541371157,47,6298
48,0.0007794784580498865,48,6432
49,0.0007482993197278911,49,6566
50,0.000718954248366013,50,6700
51,0.0006913021618903971,51,6834
52,0.0006652152878567972,52,6968
53,0.0006405776846028418,53,7102
54,0.0006172839506172839,54,7236
55,0.0005952380952380952,55,7370
56,0.0005743525480367585,56,7504
57,0.0005545472877596289,57,7638
58,0.0005357490746152347,58,7772
59,0.0005178907721280603,59,7906
60,0.0005009107468123862,60,8040
61,0.00048475233562488983,61,8174
62,0.000469363372589179,62,8308
63,0.00045469576719576717,63,8442
64,0.0004407051282051282,64,8576
65,0.00042735042735042735,65,8710
66,0.00041459369817578774,66,8844
67,0.00040239976587649987,67,8978
68,0.0003907360045467462,68,9112
69,0.0003795721187025535,69,9246
70,0.00036887994634473507,70,9380
71,0.0003586332811684924,71,9514
72,0.00034880771182141043,72,9648
73,0.00033938047636677775,73,9782
74,0.00033033033033033035,74,9916
75,0.0003216374269005848,75,10050
76,0.0003132832080200501,76,10184
77,0.00030525030525030525,77,10318
78,0.0002975224494211836,78,10452
79,0.000290084388185654,79,10586
80,0.00028292181069958846,80,10720
81,0.0002760212787313058,81,10854
82,0.0002693701635811539,82,10988
83,0.00026295658825779307,83,11122
84,0.0002567693744164332,84,11256
85,0.00025079799361605107,85,11390
86,0.0002450325224984407,86,11524
87,0.00023946360153256706,87,11658
88,0.0002340823970037453,88,11792
89,0.00022888056595921763,89,11926
90,0.00022385022385022383,90,12060
91,0.00021898391463608853,91,12194
92,0.00021427458313853825,92,12328
93,0.00020971554945473954,93,12462
94,0.0002053004852556924,94,12596
95,0.0002010233918128655,95,12730
96,0.00019687857961053835,96,12864
97,0.00019286064941440492,97,12998
98,0.0001889644746787604,98,13132
99,0.00018518518518518515,99,13266
100,0.0001815181518151815,100,13400
101,0.00017795897236782502,101,13534
102,0.00017450345834126528,102,13668
103,0.00017114762260393327,103,13802
104,0.0001678876678876679,104,13936
105,0.00016471997604073073,105,14070
106,0.00016164109798389465,106,14204
107,0.00015864774431752622,107,14338
108,0.00015573677653188357,108,14472
109,0.0001529051987767584,109,14606
110,0.00015015015015015014,110,14740
111,0.00014746889746889748,111,14874
112,0.00014485882848714707,112,15008
113,0.0001423174455312322,113,15142
114,0.0001398423595219934,114,15276
115,0.00013743128435782107,115,15410
116,0.00013508203163375575,116,15544
117,0.0001327925056738616,117,15678
118,0.0001305606988558135,118,15812
119,0.0001283846872082166,119,15946
120,0.00012626262626262626,120,16080
121,0.00012419274714356682,121,16214
