step,Subgame4/conv,Subgame4/iters
0,38.43119384765625,0
1,38.43119384765625,1
2,37.00125610351562,2
3,24.5203515625,3
4,18.54462585449219,4
5,15.53513671875,5
6,10.675718688964844,6
7,7.880856628417969,7
8,5.949656372070312,8
9,4.985346527099609,9
10,4.410970153808594,10
11,4.631105194091797,11
12,3.2864089965820313,12
13,2.6150686645507815,13
14,2.1829299926757812,14
15,1.9618681716918944,15
16,1.730311622619629,16
17,1.4470672607421875,17
18,1.2024072265625,18
19,1.0092538452148438,19
20,0.9193482971191407,20
21,0.8891240310668945,21
22,0.8174016571044922,22
23,0.7387637329101563,23
24,0.6763974761962891,24
25,0.637657356262207,25
26,0.6090785217285156,26
27,0.5801621627807617,27
28,0.5438627243041992,28
29,0.5129325866699219,29
30,0.4635582160949707,30
31,0.4301227378845215,31
32,0.41504364013671874,32
33,0.3992100715637207,33
34,0.37899559020996093,34
35,0.3848042869567871,35
36,0.365966796875,36
37,0.3488455581665039,37
38,0.3227459144592285,38
39,0.30595890045166013,39
40,0.29468164443969724,40
41,0.2790377235412598,41
42,0.26196922302246095,42
43,0.25102446556091307,43
44,0.25231858253479006,44
45,0.23906978607177734,45
46,0.2318319034576416,46
47,0.31706972122192384,47
48,0.2919524955749512,48
49,0.26920596122741697,49
50,0.25985428810119626,50
51,0.24320987701416016,51
52,0.2225734233856201,52
53,0.2225821113586426,53
54,0.2366380500793457,54
55,0.22315484046936035,55
56,0.21827010154724122,56
57,0.21895666122436525,57
58,0.23690163612365722,58
59,0.23189973831176758,59
60,0.235950984954834,60
61,0.3044447326660156,61
62,0.332062816619873,62
63,0.3087894344329834,63
64,0.3475712585449219,64
65,0.34018168449401853,65
66,0.2823848533630371,66
67,0.27456666946411135,67
68,0.2883974266052246,68
69,0.2697744941711426,69
70,0.24971389770507812,70
71,0.24380401611328126,71
72,0.24287108421325684,72
73,0.23217389106750488,73
74,0.2210515022277832,74
75,0.21233391761779785,75
76,0.2037890625,76
77,0.19670777320861815,77
78,0.18949644088745118,78
79,0.18631969451904296,79
80,0.18489334106445313,80
81,0.1845761013031006,81
82,0.18321834564208983,82
83,0.17923336029052733,83
84,0.17485467910766603,84
85,0.1705090284347534,85
86,0.16499345302581786,86
87,0.16062648773193358,87
88,0.15766855239868163,88
89,0.15441537857055665,89
90,0.15159395217895508,90
91,0.14885992527008057,91
92,0.1462220859527588,92
93,0.14356340408325197,93
94,0.14063930988311768,94
95,0.1386619472503662,95
96,0.13650132656097413,96
97,0.1336006259918213,97
98,0.13059909343719484,98
99,0.1278299617767334,99
100,0.12540530204772948,100
101,0.1233869457244873,101
102,0.12137860298156739,102
103,0.1192811107635498,103
104,0.11682016849517822,104
105,0.11439201354980469,105
106,0.1126432466506958,106
107,0.11078070163726807,107
108,0.10876367092132569,108
109,0.10704413890838622,109
110,0.10492024421691895,110
111,0.10254907608032227,111
112,0.10081375122070313,112
113,0.09931648254394532,113
114,0.09790953159332276,114
115,0.09658063888549805,115
116,0.09514576435089112,116
117,0.09361048221588135,117
118,0.09208128929138183,118
119,0.09083268642425538,119
120,0.08968082427978516,120
121,0.08851364135742187,121
122,0.08730698585510253,122
123,0.08633822917938233,123
124,0.08548027992248536,124
125,0.08462184429168701,125
126,0.08368462085723877,126
127,0.08278741836547851,127
128,0.08188458681106567,128
129,0.08093596935272217,129
130,0.07990361452102661,130
131,0.07885009050369263,131
132,0.07789712905883789,132
133,0.07699680089950561,133
134,0.07609999418258667,134
135,0.07522836208343506,135
136,0.07447269439697266,136
137,0.07381732702255249,137
138,0.0731423830986023,138
139,0.07233941555023193,139
140,0.07145771503448486,140
141,0.0705973243713379,141
142,0.06972577333450318,142
143,0.06884326457977295,143
144,0.06797088384628296,144
145,0.06712755441665649,145
146,0.06633486986160278,146
147,0.06560407876968384,147
148,0.06493475437164306,148
149,0.06428006649017334,149
150,0.06357774257659912,150
