step,BattleShip2/conv,BattleShip2/iters,BattleShip2/nodes_touched,BattleShip2/tau,BattleShip2/alpha,BattleShip2/beta,BattleShip2/gamma
0,0.5,0,0,,,,
1,0.5,1,20138,1,1.0224879191439482,-0.8825253571253122,4.9972556300742
2,0.782811780518756,2,40276,1,1.0255333535840228,-0.8838958880641179,4.997224649023956
3,1.2700336975199409,3,60414,1,1.0483517612375195,-0.8832276316551477,4.997041704839841
4,1.1938605672212645,4,80552,1,1.0731083334060376,-0.8828879108255814,4.996834491664032
5,1.0751387146559481,5,100690,1,1.0734649071056803,-0.8844216119053105,4.996822009004754
6,1.0428495477925177,6,120828,1,1.071888320876794,-0.8861165030782043,4.996825312549172
7,0.6919096467881047,7,140966,1,1.073656533363084,-0.8875799227809456,4.996801005685898
8,0.538555421380386,8,161104,1,1.058374841097547,-0.8905987554993724,4.996915938432499
9,0.4842943972376198,9,181242,1,1.0503152273145742,-0.8931983222972362,4.996970899717098
10,0.47544360001028413,10,201380,1,1.0486917316847424,-0.8951605057151546,4.996974256915353
11,0.39690489687637465,11,221518,1,1.0509669409989073,-0.8966663494514941,4.9969464337027
12,0.3498033340831027,12,241656,1,1.04604091591881,-0.8991252727180512,4.996976024160774
13,0.3901199015570986,13,261794,1,1.043527514746173,-0.9013342778450173,4.996986250955538
14,0.3099783677951931,14,281932,1,1.0514589990872791,-0.9020746913956377,4.996912800019934
15,0.3172321179214645,15,302070,1,1.0443379643016357,-0.9050002273332054,4.996960020196812
16,0.2495525878408557,16,322208,1,1.048450933089971,-0.9062845157121089,4.996916869046997
17,0.20225328524583486,17,342346,1,1.040897163248657,-0.909445082264754,4.996967407309635
18,0.20751430842770208,18,362484,1,1.034689065146675,-0.9125419036598681,4.99700669324704
19,0.20157886490776483,19,382622,1,1.0388891293919866,-0.9138080259830896,4.996963061337406
20,0.1759935867448727,20,402760,1,1.040678894292738,-0.9155205463886116,4.996938334642985
21,0.19875781712735163,21,422898,1,1.0377509721667124,-0.918143731036787,4.996951439748616
22,0.14180149254866398,22,443036,1,1.0462136104713449,-0.9186047361115262,4.996872209862394
23,0.13870775549327452,23,463174,1,1.0343494334837058,-0.9230750917677111,4.996957694464624
24,0.13267153482759586,24,483312,1,1.0364397423789327,-0.9247931622810679,4.996930177388824
25,0.12978166140147007,25,503450,1,1.037541290628027,-0.9267332306257605,4.9969104295309865
26,0.11342775446336706,26,523588,1,1.0396370754246522,-0.9284689361868337,4.996882378392662
27,0.11136897849246552,27,543726,1,1.036751933213,-0.9313363200585869,4.996894879029782
28,0.09910510748974327,28,563864,1,1.0390100552319033,-0.93306273791003,4.996865215959608
29,0.12135823311061078,29,584002,1,1.036920227370467,-0.935828320528661,4.9968710966229395
